#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
 319 JNBE                       98805                0
 320 JNL                       390398                0
 321 JNLE                      810473                0
 324 JNS                         4523                0
 325 JNZ                      1630001                0
 327 JP                            13                0
 329 JS                          2898                0
 330 JZ                        972059                0
 388 LEA                      1702743                0
 389 LEAVE                          2                0
 417 MAXSD                          1                0
 427 MOV                      5357820                0
 428 MOVAPD                   2026915                0
 429 MOVAPS                     66486                0
 431 MOVD                        2491                0
 436 MOVDQA                     13456                0
 437 MOVDQU                      3028                0
 439 MOVHPD                       482                0
 440 MOVHPS                        52                0
 442 MOVLPD                       482                0
 444 MOVMSKPD                       1                0
 454 MOVQ                        1201                0
 457 MOVSD                          0              140
 458 MOVSD_XMM                4266056                0
 464 MOVSX                      86880                0
 465 MOVSXD                   1691641                0
 466 MOVUPD                    978569                0
 467 MOVUPS                    367603                0
 468 MOVZX                     443756                0
 472 MUL                          179                0
 473 MULPD                     798568                0
 475 MULSD                    3827383                0
 480 NEG                        35635                0
 482 NOP                       411651                0
 491 NOT                           42                0
 493 OR                         28374                0
 509 PADDD                       1607                0
 510 PADDQ                          4                0
 517 PAND                          12                0
 526 PCMPEQB                    14444                0
 527 PCMPEQD                        1                0
 595 PMOVMSKB                   13853                0
 616 POP                       318581                0
 623 POR                          188                0
 634 PSHUFD                      2486                0
 642 PSLLDQ                       193                0
 649 PSRLDQ                        47                0
 652 PSUBB                        450                0
 667 PUNPCKLBW                   4616                0
 668 PUNPCKLDQ                      9                0
 669 PUNPCKLQDQ                   739                0
 670 PUNPCKLWD                    124                0
 671 PUSH                      344980                0
 678 PXOR                       42342                0
 694 RDTSC                          8                0
 695 RDTSCP                         3                0
 740 RET_NEAR                  165099                0
 743 ROL                           25                0
 744 ROR                            1                0
 748 ROUNDSD                        1                0
 756 SAR                        15074                0
 759 SBB                         2216                0
 770 SETB                        6320                0
 771 SETBE                       6990                0
 774 SETNB                      42899                0
 775 SETNBE                     10982                0
 777 SETNLE                     68939                0
 781 SETNZ                       3215                0
 782 SETO                          16                0
 786 SETZ                         522                0
 796 SHL                       321207                0
 797 SHLD                          11                0
 799 SHR                        44376                0
 800 SHRD                          28                0
 802 SHUFPD                         9                0
 811 SQRTSD                      1809                0
 821 STOSQ                          0              390
 826 SUB                       536622                0
 827 SUBPD                     671147                0
 829 SUBSD                    3659599                0
 833 SYSCALL                      165                0
 847 TEST                      635078                0
 856 TZCNT                         12                0
 858 UCOMISD                     1834                0
 868 UNPCKLPD                   38653                0
1717 XADD_LOCK                     10                0
1719 XCHG                        2561                0
1721 XGETBV                         1                0
1723 XOR                       386967                0
1728 XRSTOR                         2                0
1732 XSAVE                          2                0
3000 *total                  44255902            39482
3001 *mem-atomic                 4616                0
3002 *stack-read              2593041                0
3003 *stack-write              968347                0
3004 *iprel-read               351961                0
3005 *iprel-write                1217                0
3007 *mem-read-1               345382                0
3008 *mem-read-2                 1372                0
3010 *mem-read-4              3448425                0
3014 *mem-read-8              5193902                0
3022 *mem-read-16             1013514                0
3519 *mem-write-1              106831                0
3520 *mem-write-2                  97                0
3522 *mem-write-4             1211026                0
3526 *mem-write-8             1980510                0
3534 *mem-write-16             414160                0
3582 *mem-write-64                  4                0
4094 LAST                           2                0
# $eof
